fecha,hora,operador,tipo_de_avion,ruta,pasajeros_a_bordo,personal_a_bordo,total_a_bordo,pasajeros_fallecidos,personal_fallecido,ground,total_fallecidos,año,dia,mes
1949-3-15,,Skyways,Avro 685 York I,"Berlin, Germany",0.0,3.0,3.0,0.0,3.0,0.0,3.0,1949,15,3
1949-3-18,09:40:00,New Zealand National Airways,Lockheed 18 Lodestar,"Near Waikanae, New Zealand",13.0,2.0,15.0,13.0,2.0,0.0,15.0,1949,18,3
1949-4-29,12:20:00,Aeroflot,Lisunov Li-2,"Near Mironovo, Russia",18.0,6.0,24.0,11.0,3.0,0.0,14.0,1949,29,4
1949-5-04,17:04:00,Avio Linee Italiane,FIAT G-212CP,"Superga, Italy",27.0,4.0,31.0,27.0,4.0,0.0,31.0,1949,4,5
1949-5-04,12:10:00,Bristop Aeroplane Company,Bristol 170 Freighter 31 Mark II,"Near Portland, Dorset, England",0.0,7.0,7.0,0.0,7.0,0.0,7.0,1949,4,5
1949-5-07,16:00:00,Philippine Air Lines,Douglas DC-3,"Sibuyan Sea, off the Philippine island of Elalat",10.0,3.0,13.0,10.0,3.0,0.0,13.0,1949,7,5
1949-5-13,14:10:00,Aeroflot,Ilyushin IL-12,"Near  Novosibirsk, Russia",20.0,5.0,25.0,20.0,5.0,0.0,25.0,1949,13,5
1949-6-06,19:00:00,Tech - Aeronautical Explotiation,Douglas DC-3,"Malahasa Attica, Greece",18.0,4.0,22.0,18.0,4.0,0.0,22.0,1949,6,6
1949-6-07,14:00:00,Military - Brazilian Air Force,Douglas C-47B,"Near Florianpolis, Brazil",21.0,6.0,27.0,21.0,6.0,0.0,27.0,1949,7,6
1949-6-07,00:25:00,Strato Freight,Curtiss C-46D-5-CU,"San Juan, Puerto Rico",75.0,6.0,81.0,52.0,1.0,0.0,53.0,1949,7,6
1949-6-23,10:55:00,KLM Royal Dutch Airlines,Lockheed 749-79-33 Constellation,"Off Bari, Italy",23.0,10.0,33.0,23.0,10.0,0.0,33.0,1949,23,6
1949-7-02,02:15:00,Mac Roberston-Miller Airlines,Douglas C-47A-20-DL,"Near Guildford, Australia",14.0,4.0,18.0,14.0,4.0,0.0,18.0,1949,2,7
1949-7-12,07:43:00,Standard Airlines,Curtiss C-46E-1-CS,"Chatsworth, California",44.0,4.0,48.0,32.0,3.0,0.0,35.0,1949,12,7
1949-7-12,03:50:00,KLM Royal Dutch Airlines,Lockheed L-749-79-33 Constellation,"Near Bombay, India",34.0,11.0,45.0,34.0,11.0,0.0,45.0,1949,12,7
1949-7-13,,Indian Air Force,Hawker Hunter,"Jamnagar, Gujarat state, India",1.0,1.0,0.0,1.0,1.0,14.0,0.0,1949,13,7
1949-7-19,21:01:00,Air Transport Associates,Curtiss C-46F-1-CU,"Seattle, Washington",28.0,4.0,32.0,2.0,0.0,4.0,2.0,1949,19,7
1949-7-21,11:35:00,Aeroflot,Ilyushin IL-12,"Marga, Russia",8.0,6.0,14.0,8.0,5.0,0.0,13.0,1949,21,7
1949-7-30,10:45:00,Eastern Air Lines / Military - USN,Douglas DC-3 -201D/ F-6-F- 5 Hellcat,"Chesterfield, New Jersey",12.0,4.0,16.0,12.0,4.0,0.0,16.0,1949,30,7
1949-8-02,11:30:00,Varig,Curtiss C-46D-10-CU,"Jaquirana, Brazil",30.0,6.0,36.0,4.0,1.0,0.0,5.0,1949,2,8
1949-8-03,,Lineas Aéreas Brasil,Douglas DC-3,"Sao Francisco Bay, Brazil",,,30.0,,,0.0,5.0,1949,3,8
1949-8-06,,Shell Co of Ecuador,Bristol 170 Freighter 21,"Salasaca, Ecuador",31.0,3.0,34.0,31.0,3.0,0.0,34.0,1949,6,8
1949-8-09,,Military - Royal Air Force,Douglas C-47B,"Salalah, Oman",,,12.0,,,0.0,12.0,1949,9,8
1949-8-13,13:30:00,SAETA,Douglas C-47,"Near Bogota, Colombia",29.0,3.0,32.0,29.0,3.0,0.0,32.0,1949,13,8
1949-8-15,03:40:00,Transocean Air Lines,Douglas DC-3 (C-54A-DO),"Off Lurga Point, Ireland",49.0,9.0,58.0,7.0,1.0,0.0,8.0,1949,15,8
1949-8-19,13:02:00,British European Airways,Douglas DC-3,"Near Oldham, England",29.0,3.0,32.0,21.0,3.0,0.0,24.0,1949,19,8
1949-8-21,23:30:00,Military - Royal Canadian Air Force,Consolidated Canso (amphibian),"Near Bigstone Lake, Manitoba",14.0,7.0,21.0,14.0,7.0,0.0,21.0,1949,21,8
1949-8-27,08:00:00,Sabena,Douglas C-47B-5-DK,"Leopoldville, Zaire",17.0,3.0,20.0,3.0,2.0,0.0,5.0,1949,27,8
1949-9-09,10:45:00,Canadian Pacific Air Lines,Douglas DC-3,"Sault-aux-Cochons, PQ, Canada",19.0,4.0,23.0,19.0,4.0,0.0,23.0,1949,9,9
1949-9-26,13:30:00,Mexicana,Douglas DC-3,"Mt. Popocatepetl, Mexico",21.0,3.0,24.0,21.0,3.0,0.0,24.0,1949,26,9
1949-9-27,,Flota Aérea Mercante Argentina,Douglas C-54A-1-DO,"Near Castilla, Argentina",20.0,7.0,27.0,2.0,3.0,0.0,5.0,1949,27,9
1949-10-09,,Slick Airways,Curtiss C-46E-1-CS,"Cheyenne, Wyoming",2.0,2.0,4.0,2.0,2.0,0.0,4.0,1949,9,10
1949-10-28,02:50:00,Air France,Lockheed 749-79-33 Constellation,"San Miguel Island, Azores",37.0,11.0,48.0,37.0,11.0,0.0,48.0,1949,28,10
1949-11-01,11:45:00,Eastern Air Lines / Military - Bolivian Air Force,Douglas C-54B / P-38,"Arlington, Virginia",51.0,4.0,55.0,51.0,4.0,0.0,55.0,1949,1,11
1949-11-04,21:34:00,Harrington's Inc,Douglas DC-3,"Akron, Ohio",0.0,3.0,3.0,0.0,3.0,0.0,3.0,1949,4,11
1949-11-16,,Royal Indian Air Force,Tempest,"Calcutta, India",0.0,2.0,2.0,0.0,1.0,14.0,1.0,1949,16,11
1949-11-20,16:56:00,Aero Holland,Douglas C-47A,"Near Oslo, Norway",31.0,4.0,35.0,30.0,4.0,0.0,34.0,1949,20,11
1949-11-26,12:00:00,LANSA,Douglas DC-3,"Near Bucaramanga, Colombia",9.0,3.0,12.0,9.0,3.0,0.0,12.0,1949,26,11
1949-11-29,05:49:00,American Airlines,Douglas DC-6,"Dallas, Texas",41.0,5.0,46.0,26.0,2.0,0.0,28.0,1949,29,11
1949-11-29,16:45:00,Air France,Douglas DC-4,"Chaleyssin, France",33.0,5.0,38.0,1.0,4.0,0.0,5.0,1949,29,11
1949-12-01,19:00:00,REAL,Douglas DC-3 (C-47-DL),"Taquaracucu, Brazil",18.0,4.0,22.0,16.0,4.0,0.0,20.0,1949,1,12
1949-12-07,17:15:00,Arrow Airlines,Douglas DC-3,"Vallejo, California",6.0,3.0,9.0,6.0,3.0,0.0,9.0,1949,7,12
1949-12-09,,Civil Air Transport,Curtiss C-46D-CU,"Near Lanchow, China",36.0,2.0,38.0,36.0,2.0,0.0,38.0,1949,9,12
1949-12-10,,Civil Air Transport,Curtiss C-46D-CU,"Near Hoikow, China",,,40.0,,,0.0,17.0,1949,10,12
1949-12-12,20:45:00,Capital Airlines,Douglas DC-3-313A,"Washington, D.C.",20.0,3.0,23.0,4.0,2.0,0.0,6.0,1949,12,12
1949-12-12,21:51:00,Pakair,Douglas DC-3,"Jungshahi, Pakistan",22.0,4.0,26.0,22.0,4.0,0.0,26.0,1949,12,12
1949-12-16,06:00:00,Mexicana,Douglas DC-3,"Orizaba, Mexico",13.0,4.0,17.0,13.0,4.0,0.0,17.0,1949,16,12
1949-12-18,20:30:00,Sabena,Douglas C-47A-60-DL,"Aulnay-sous-Bois, France",4.0,4.0,8.0,4.0,4.0,0.0,8.0,1949,18,12
1949-12-30,,Bharat Airways,Douglas C-54A-DO,"Comilla, Pakistan",6.0,1.0,7.0,6.0,1.0,0.0,7.0,1949,30,12
1950-1-05,,Military - Soviet Air Force,Lisunov Li-2,"Sverdlovsk, Russia",,,19.0,,,0.0,19.0,1950,5,1
1950-1-18,,Ejercito del Aire,Casa 352,"Albacete, Spain",13.0,3.0,16.0,13.0,3.0,0.0,16.0,1950,18,1
1950-1-20,12:00:00,Military - Bolivian Air Force,Douglas C-47,"Near Vacas, Bolivia",28.0,4.0,32.0,28.0,4.0,1.0,32.0,1950,20,1
1950-1-24,,Societe Transatlantique Aerienne,Douglas C-47A-50-DL,"Near Tamatave, Madagascar",11.0,3.0,14.0,11.0,3.0,0.0,14.0,1950,24,1
1950-1-24,,Philippine Air Lines,Douglas DC-3,"Iloilo,Philippines",1.0,3.0,4.0,1.0,3.0,0.0,4.0,1950,24,1
1950-1-26,14:09:00,Military - U.S. Air Force,Douglas C-54D-DC (DC-4),"Near Snag, Yukon Territory",36.0,8.0,44.0,36.0,8.0,0.0,44.0,1950,26,1
1950-2-02,04:45:00,KLM Royal Dutch Airlines,Douglas DC-3,North Sea,0.0,7.0,7.0,0.0,7.0,0.0,7.0,1950,2,2
1950-2-27,07:31:00,Ceskoslovenske Aerolinie,Douglas C-47A-15-DK,"Near Prague, Czechoslovakia",27.0,3.0,30.0,2.0,3.0,0.0,5.0,1950,27,2
1950-3-07,20:59:00,Northwest Orient Airlines,Martin 202,"Minneapolis, Minnesota",10.0,3.0,13.0,10.0,3.0,2.0,13.0,1950,7,3
1950-3-10,,Societe Indochinoise de Transport Aeriens,Bristol 170 Freighter 21,"Saigon, Vietnam",1.0,3.0,4.0,1.0,3.0,0.0,4.0,1950,10,3
1950-3-12,14:50:00,Fairflight Ltd.,Avro 689 Tudor 5,"Llandow Airport, Cardiff, Wales",78.0,5.0,83.0,75.0,5.0,0.0,80.0,1950,12,3
1950-3-25,,Devlet Hava Yollairi,Douglas DC-3,"Ankara, Turkey",11.0,4.0,15.0,11.0,4.0,0.0,15.0,1950,25,3
1950-3-28,17:30:00,SEMAF,Latecoere 631 (sea plane),"Off Cap-Ferret, France",0.0,12.0,12.0,0.0,12.0,0.0,12.0,1950,28,3
1950-4-05,03:56:00,Deccan Airways,Douglas C-47A,"Hatiara, India",0.0,3.0,3.0,0.0,3.0,0.0,3.0,1950,5,4
1950-4-13,,British European Airways,Vickers 610 Viking 1B,"Near Hastings, England",28.0,4.0,32.0,0.0,0.0,0.0,0.0,1950,13,4
1950-4-15,17:00:00,Lineas Aéreas Nacionales,Douglas C-47 (DC-3),"Santa Ana, Colombia",0.0,2.0,4.0,0.0,2.0,0.0,2.0,1950,15,4
